attempt_number,question_number,available_data,total_students,correct_count,wrong_count,unanswered_count,low_count,medium_count,high_count,total_selected_weight,correct_selected_weight,answered_count,accuracy,weighted_accuracy
1,1,35,35,30,5,0,8,10,17,169,146,35,85.71428571428571,86.3905325443787
1,2,35,35,31,4,0,1,11,23,169,149,35,88.57142857142857,88.16568047337277
1,3,35,35,26,9,0,3,2,30,169,130,35,74.28571428571429,76.92307692307693
1,4,35,35,33,2,0,1,10,24,183,175,35,94.28571428571428,95.62841530054644
1,5,35,35,26,9,0,0,3,32,189,148,35,74.28571428571429,78.3068783068783
1,6,35,35,28,7,0,0,9,26,187,154,35,80,82.35294117647058
1,7,35,35,33,2,0,2,5,28,193,183,35,94.28571428571428,94.81865284974094
1,8,35,35,23,12,0,1,3,31,175,121,35,65.71428571428571,69.14285714285714
1,9,35,35,29,6,0,1,11,23,155,131,35,82.85714285714286,84.51612903225806
1,10,35,35,28,7,0,2,4,29,159,126,35,80,79.24528301886792
1,11,35,35,28,7,0,2,6,27,177,140,35,80,79.09604519774011
1,12,35,35,24,11,0,0,9,26,181,124,35,68.57142857142857,68.50828729281768
1,13,35,35,27,8,0,2,9,24,183,151,35,77.14285714285715,82.5136612021858
1,14,35,35,31,4,0,3,7,25,181,165,35,88.57142857142857,91.16022099447514
1,15,35,35,27,8,0,2,5,28,167,137,35,77.14285714285715,82.03592814371258
2,1,32,32,28,4,0,17,8,7,172,150,32,87.5,87.20930232558139
2,2,32,32,25,7,0,4,13,15,164,133,32,78.125,81.09756097560977
2,3,32,32,27,5,0,3,6,23,152,131,32,84.375,86.18421052631578
2,4,32,32,29,3,0,2,5,25,168,155,32,90.625,92.26190476190477
2,5,32,32,25,7,0,2,2,28,150,125,32,78.125,83.33333333333334
2,6,32,32,26,6,0,1,8,23,154,122,32,81.25,79.22077922077922
2,7,32,32,25,7,0,4,2,26,140,111,32,78.125,79.28571428571428
2,8,32,32,28,4,0,3,5,24,176,156,32,87.5,88.63636363636364
2,9,32,32,26,6,0,2,4,26,144,122,32,81.25,84.72222222222221
2,10,32,32,25,7,0,3,4,25,164,131,32,78.125,79.8780487804878
2,11,32,32,30,2,0,2,7,23,154,144,32,93.75,93.5064935064935
2,12,32,32,24,8,0,0,4,28,162,124,32,75,76.5432098765432
2,13,32,32,24,8,0,0,8,24,164,126,32,75,76.82926829268293
2,14,32,32,29,3,0,2,6,24,134,123,32,90.625,91.7910447761194
2,15,32,32,29,3,0,2,1,29,162,149,32,90.625,91.9753086419753
