attempt_number,question_number,difficulty,question_count,percentage
1,1,HIGH,17,48.57142857142857
1,1,LOW,8,22.857142857142858
1,1,MEDIUM,10,28.57142857142857
1,2,HIGH,23,65.71428571428571
1,2,LOW,1,2.857142857142857
1,2,MEDIUM,11,31.428571428571427
1,3,HIGH,30,85.71428571428571
1,3,LOW,3,8.571428571428571
1,3,MEDIUM,2,5.714285714285714
1,4,HIGH,24,68.57142857142857
1,4,LOW,1,2.857142857142857
1,4,MEDIUM,10,28.57142857142857
1,5,HIGH,32,91.42857142857143
1,5,MEDIUM,3,8.571428571428571
1,6,HIGH,26,74.28571428571429
1,6,MEDIUM,9,25.71428571428571
1,7,HIGH,28,80
1,7,LOW,2,5.714285714285714
1,7,MEDIUM,5,14.285714285714285
1,8,HIGH,31,88.57142857142857
1,8,LOW,1,2.857142857142857
1,8,MEDIUM,3,8.571428571428571
1,9,HIGH,23,65.71428571428571
1,9,LOW,1,2.857142857142857
1,9,MEDIUM,11,31.428571428571427
1,10,HIGH,29,82.85714285714286
1,10,LOW,2,5.714285714285714
1,10,MEDIUM,4,11.428571428571429
1,11,HIGH,27,77.14285714285715
1,11,LOW,2,5.714285714285714
1,11,MEDIUM,6,17.142857142857142
1,12,HIGH,26,74.28571428571429
1,12,MEDIUM,9,25.71428571428571
1,13,HIGH,24,68.57142857142857
1,13,LOW,2,5.714285714285714
1,13,MEDIUM,9,25.71428571428571
1,14,HIGH,25,71.42857142857143
1,14,LOW,3,8.571428571428571
1,14,MEDIUM,7,20
1,15,HIGH,28,80
1,15,LOW,2,5.714285714285714
1,15,MEDIUM,5,14.285714285714285
2,1,HIGH,7,21.875
2,1,LOW,17,53.125
2,1,MEDIUM,8,25
2,2,HIGH,15,46.875
2,2,LOW,4,12.5
2,2,MEDIUM,13,40.625
2,3,HIGH,23,71.875
2,3,LOW,3,9.375
2,3,MEDIUM,6,18.75
2,4,HIGH,25,78.125
2,4,LOW,2,6.25
2,4,MEDIUM,5,15.625
2,5,HIGH,28,87.5
2,5,LOW,2,6.25
2,5,MEDIUM,2,6.25
2,6,HIGH,23,71.875
2,6,LOW,1,3.125
2,6,MEDIUM,8,25
2,7,HIGH,26,81.25
2,7,LOW,4,12.5
2,7,MEDIUM,2,6.25
2,8,HIGH,24,75
2,8,LOW,3,9.375
2,8,MEDIUM,5,15.625
2,9,HIGH,26,81.25
2,9,LOW,2,6.25
2,9,MEDIUM,4,12.5
2,10,HIGH,25,78.125
2,10,LOW,3,9.375
2,10,MEDIUM,4,12.5
2,11,HIGH,23,71.875
2,11,LOW,2,6.25
2,11,MEDIUM,7,21.875
2,12,HIGH,28,87.5
2,12,MEDIUM,4,12.5
2,13,HIGH,24,75
2,13,MEDIUM,8,25
2,14,HIGH,24,75
2,14,LOW,2,6.25
2,14,MEDIUM,6,18.75
2,15,HIGH,29,90.625
2,15,LOW,2,6.25
2,15,MEDIUM,1,3.125
