attempt_number,student_1,student_2,jaccard_similarity,shared_question_count
1,cms5hzr64000104l866r5zbw0,cms5i0htd000404l8l6kmtilt,0.36363636363636365,8
1,cms5hzr64000104l866r5zbw0,cms5i0i0l000504l8ulbsjfmz,0.36363636363636365,8
1,cms5hzr64000104l866r5zbw0,cms5i0n84000a04l800qcezwm,0.25,6
1,cms5hzr64000104l866r5zbw0,cms5i0s69000d04l8pqx4e1xz,0.2,5
1,cms5hzr64000104l866r5zbw0,cms5i0xtg000g04l8guihaayb,0.1111111111111111,3
1,cms5hzr64000104l866r5zbw0,cms5i0ycl000h04l8k13pj7wf,0.15384615384615385,4
1,cms5hzr64000104l866r5zbw0,cms5i12ba000m04l84zvvwe8a,0.25,6
1,cms5hzr64000104l866r5zbw0,cms5i13fu000n04l8zz761b93,0.30434782608695654,7
1,cms5hzr64000104l866r5zbw0,cms5i15pl000s04l8ve7f2ny2,0.30434782608695654,7
1,cms5hzr64000104l866r5zbw0,cms5i16am000u04l82pevy8j7,0.25,6
1,cms5hzr64000104l866r5zbw0,cms5i1705000w04l87z5jgm6s,0.15384615384615385,4
1,cms5hzr64000104l866r5zbw0,cms5i17d9000z04l8bgrrriw5,0.2,5
1,cms5hzr64000104l866r5zbw0,cms5i18n7001404l8gd04sbq9,0.2,5
1,cms5hzr64000104l866r5zbw0,cms5i19v2001b04l8b818dzbg,0.30434782608695654,7
1,cms5hzr64000104l866r5zbw0,cms5i1ca6001g04l8916s8gz9,0.2,5
1,cms5hzr64000104l866r5zbw0,cms5i1fbl001j04l8vzqcbizv,0.15384615384615385,4
1,cms5hzr64000104l866r5zbw0,cms5i1gyb001k04l8yjbhgjbm,0.07142857142857142,2
1,cms5hzr64000104l866r5zbw0,cms5i1q6s001q04l8sp02rweo,0.2,5
1,cms5hzr64000104l866r5zbw0,cms5i1rru001r04l8qrq0kv2e,0.15384615384615385,4
1,cms5hzr64000104l866r5zbw0,cms5i1rxu001s04l83phibj5t,0.1111111111111111,3
1,cms5hzr64000104l866r5zbw0,cms5i1sx9000004l7c04yn542,0.15384615384615385,4
1,cms5hzr64000104l866r5zbw0,cms5i1uwy000304l78n162cig,0.07142857142857142,2
1,cms5hzr64000104l866r5zbw0,cms5i211d000a04l7qp7qz0vt,0.25,6
1,cms5hzr64000104l866r5zbw0,cms5i290v000d04l7ph0uhsaj,0.1111111111111111,3
1,cms5hzr64000104l866r5zbw0,cms5i2ed9000h04l7qs93woua,0.15384615384615385,4
1,cms5hzr64000104l866r5zbw0,cms5i2ic6000n04l7d0j6wq97,0.15384615384615385,4
1,cms5hzr64000104l866r5zbw0,cms5i3a48002b04l8kkccthvp,0.15384615384615385,4
