attempt_number,question_number,total_students,unique_questions,correct_count,wrong_count,accuracy_percent,mean_weight
1,1,35,31,30,5,85.71428571428571,4.828571428571428
1,2,35,26,31,4,88.57142857142857,4.828571428571428
1,3,35,24,26,9,74.28571428571429,4.828571428571428
1,4,35,26,33,2,94.28571428571428,5.228571428571429
1,5,35,20,26,9,74.28571428571429,5.4
1,6,35,23,28,7,80,5.3428571428571425
1,7,35,25,33,2,94.28571428571428,5.514285714285714
1,8,35,22,23,12,65.71428571428571,5
1,9,35,28,29,6,82.85714285714286,4.428571428571429
1,10,35,26,28,7,80,4.542857142857143
1,11,35,27,28,7,80,5.057142857142857
1,12,35,27,24,11,68.57142857142857,5.171428571428572
1,13,35,25,27,8,77.14285714285715,5.228571428571429
1,14,35,26,31,4,88.57142857142857,5.171428571428572
1,15,35,24,27,8,77.14285714285715,4.771428571428571
2,1,32,25,28,4,87.5,5.375
2,2,32,29,25,7,78.125,5.125
2,3,32,23,27,5,84.375,4.75
2,4,32,23,29,3,90.625,5.25
2,5,32,21,25,7,78.125,4.6875
2,6,32,22,26,6,81.25,4.8125
2,7,32,25,25,7,78.125,4.375
2,8,32,22,28,4,87.5,5.5
2,9,32,21,26,6,81.25,4.5
2,10,32,25,25,7,78.125,5.125
2,11,32,27,30,2,93.75,4.8125
2,12,32,25,24,8,75,5.0625
2,13,32,23,24,8,75,5.125
2,14,32,26,29,3,90.625,4.1875
2,15,32,21,29,3,90.625,5.0625
