attempt_number,difficulty,answer_result,next_difficulty,transition,transition_count,percentage
1,HIGH,Benar,HIGH,HIGH → HIGH,292,100
1,HIGH,Salah,MEDIUM,HIGH → MEDIUM,73,100
1,LOW,Benar,MEDIUM,LOW → MEDIUM,21,100
1,LOW,Salah,LOW,LOW → LOW,5,100
1,MEDIUM,Benar,HIGH,MEDIUM → HIGH,84,100
1,MEDIUM,Salah,LOW,MEDIUM → LOW,15,100
2,HIGH,Benar,HIGH,HIGH → HIGH,274,100
2,HIGH,Salah,MEDIUM,HIGH → MEDIUM,47,100
2,LOW,Benar,MEDIUM,LOW → MEDIUM,28,100
2,LOW,Salah,LOW,LOW → LOW,17,100
2,MEDIUM,Benar,HIGH,MEDIUM → HIGH,69,100
2,MEDIUM,Salah,LOW,MEDIUM → LOW,13,100
