attempt_number,question_number,total_students,unique_questions,variation_ratio,most_frequent_question_count,most_frequent_question_percentage
1,1,35,31,0.8857142857142857,2,5.714285714285714
1,2,35,26,0.7428571428571429,3,8.571428571428571
1,3,35,24,0.6857142857142857,3,8.571428571428571
1,4,35,26,0.7428571428571429,3,8.571428571428571
1,5,35,20,0.5714285714285714,3,8.571428571428571
1,6,35,23,0.6571428571428571,4,11.428571428571429
1,7,35,25,0.7142857142857143,4,11.428571428571429
1,8,35,22,0.6285714285714286,4,11.428571428571429
1,9,35,28,0.8,3,8.571428571428571
1,10,35,26,0.7428571428571429,4,11.428571428571429
1,11,35,27,0.7714285714285715,3,8.571428571428571
1,12,35,27,0.7714285714285715,4,11.428571428571429
1,13,35,25,0.7142857142857143,4,11.428571428571429
1,14,35,26,0.7428571428571429,4,11.428571428571429
1,15,35,24,0.6857142857142857,4,11.428571428571429
2,1,32,25,0.78125,3,9.375
2,2,32,29,0.90625,2,6.25
2,3,32,23,0.71875,3,9.375
2,4,32,23,0.71875,5,15.625
2,5,32,21,0.65625,5,15.625
2,6,32,22,0.6875,3,9.375
2,7,32,25,0.78125,4,12.5
2,8,32,22,0.6875,4,12.5
2,9,32,21,0.65625,3,9.375
2,10,32,25,0.78125,4,12.5
2,11,32,27,0.84375,3,9.375
2,12,32,25,0.78125,3,9.375
2,13,32,23,0.71875,3,9.375
2,14,32,26,0.8125,3,9.375
2,15,32,21,0.65625,3,9.375
